ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,ovBalls/6,id,inningId,ovBalls/7,ovBalls/8,ovBalls/9,ovBalls/10,ovBalls/11,ovBalls/12,ovBalls/13,bowlerId
19,1,.,1,2,.,4,,2943,69,,,,,,,,
20,1,.,1,.,.,.,,2944,69,,,,,,,,
21,1,.,2,2,.,1,,2945,69,,,,,,,,
22,1,1,1,1,3,1,,2946,69,,,,,,,,
23,1,.,1,1,1,1,,2947,69,,,,,,,,
24,1,.,1,2,2,.,,2948,69,,,,,,,,
25,4,4,1,1,1,1,,2949,69,,,,,,,,
26,1,1,4B,1,1,.,,2950,69,,,,,,,,
27,.,.,1,1,4,2,,2951,69,,,,,,,,
28,.,1,2,.,.,4,,2952,69,,,,,,,,
29,.,.,.,.,2NbB,.,.,2953,69,,,,,,,,
30,.,1,W,.,.,2,,2954,69,,,,,,,,
31,1,.,W,1,.,.,,2955,69,,,,,,,,
32,.,.,1,.,.,.,,2956,69,,,,,,,,
33,.,.,1Wd,.,.,.,1,2957,69,,,,,,,,
34,.,.,1,2Lb,.,1,,2958,69,,,,,,,,
35,2,1,.,.,.,.,,2959,69,,,,,,,,
36,1,.,W,1,.,1,,2960,69,,,,,,,,
37,.,1,1,1,4,.,,2961,69,,,,,,,,
38,2Wd,.,.,.,.,.,.,2962,69,,,,,,,,
39,1,.,.,.,1,.,,2963,69,,,,,,,,
40,.,.,.,2,1,1,,2964,69,,,,,,,,
41,.,2,1,.,.,.,,2965,69,,,,,,,,
42,.,2,1,.,1,1,,2966,69,,,,,,,,
43,.,1,.,1Lb,1,.,,2967,69,,,,,,,,
44,1,1,4,1,1,.,,2968,69,,,,,,,,
45,4,1,.,1,1,1,,2969,69,,,,,,,,
46,1,1Wd,1,1,1,1,.,2970,69,,,,,,,,
47,1,W,.,.,2,1,,2971,69,,,,,,,,
48,1,.,1,.,1,.,,2972,69,,,,,,,,
49,1,1,2,W,.,W,,2973,69,,,,,,,,
50,6,W,.,1,W,,,2974,69,,,,,,,,
1,.,.,.,1B,.,.,,2975,70,,,,,,,,
2,4,.,.,.,4,.,,2976,70,,,,,,,,
3,.,1Wd,.,.,4,.,.,2977,70,,,,,,,,
4,.,.,4,.,.,.,,2978,70,,,,,,,,
5,1Wd,.,4,.,1Wd,.,.,2979,70,.,,,,,,,
6,.,.,.,.,.,.,,2980,70,,,,,,,,
7,4,1,1,.,.,4,,2981,70,,,,,,,,
8,.,.,2,1,.,1,,2982,70,,,,,,,,
9,1,4,2,.,.,.,,2983,70,,,,,,,,
10,1,.,4,1,1,.,,2984,70,,,,,,,,
11,.,.,.,4,1,W,,2985,70,,,,,,,,
12,1,.,.,.,.,.,,2986,70,,,,,,,,
13,.,.,.,.,4,.,,2987,70,,,,,,,,
14,4,.,.,1,1,.,,2988,70,,,,,,,,
15,.,.,1,1,1,.,,2989,70,,,,,,,,
16,.,2,1,1,1,1,,2990,70,,,,,,,,
17,4,1,1,.,.,.,,2991,70,,,,,,,,
18,.,1,.,.,4,.,,2992,70,,,,,,,,
19,1,.,.,.,.,.,,2993,70,,,,,,,,
20,W,.,1,.,.,1,,2994,70,,,,,,,,
21,.,.,1,.,1,1,,2995,70,,,,,,,,
22,.,.,.,1,1,.,,2996,70,,,,,,,,
23,.,1,1,.,.,.,,2997,70,,,,,,,,
24,1,.,1,1,1,1,,2998,70,,,,,,,,
25,.,.,.,1,1,2,,2999,70,,,,,,,,
26,.,.,3,.,1,.,,3000,70,,,,,,,,
27,.,.,1,1,1,2,,3001,70,,,,,,,,
28,4,.,.,1Wd,2,1,.,3002,70,,,,,,,,
29,.,1,2,1,.,4,,3003,70,,,,,,,,
30,.,.,1,.,.,1,,3004,70,,,,,,,,
31,4,4,2,1Wd,.,.,2,3005,70,,,,,,,,
32,1,1,1,2,.,.,,3006,70,,,,,,,,
33,.,2,1Lb,1,1,2,,3007,70,,,,,,,,
34,1,.,4,.,1,.,,3008,70,,,,,,,,
35,.,1,.,1,.,4,,3009,70,,,,,,,,
36,3,.,.,1,.,2,,3010,70,,,,,,,,
37,1,1,1,.,4,1,,3011,70,,,,,,,,
38,1,1,1,.,4,4,,3012,70,,,,,,,,
39,1,.,1,1,.,.,,3013,70,,,,,,,,
40,1,.,.,.,.,1,,3014,70,,,,,,,,
41,W,.,1Lb,.,.,.,,3015,70,,,,,,,,
42,.,4,2,6,.,1,,3016,70,,,,,,,,
43,.,4,.,.,.,.,,3017,70,,,,,,,,
44,1,1,.,4,1,.,,3018,70,,,,,,,,
45,.,.,2,2,1,1,,3019,70,,,,,,,,
46,.,4,3Lb,1,.,.,,3020,70,,,,,,,,
47,2,1,.,.,.,1,,3021,70,,,,,,,,
48,.,4,,,,,,3022,70,,,,,,,,
1,.,.,.,.,.,.,,3023,71,,,,,,,,
2,.,1,1Wd,.,1Wd,1,1,3024,71,1Wd,.,,,,,,
3,.,1,.,.,.,3,,3025,71,,,,,,,,
4,4,.,.,.,1Wd,.,4,3026,71,,,,,,,,
5,2,1,4,.,4,.,,3027,71,,,,,,,,
6,.,1Wd,4,.,W,2,1,3028,71,,,,,,,,
7,.,4,.,4,.,.,,3029,71,,,,,,,,
8,.,.,.,.,.,4,,3030,71,,,,,,,,
9,.,1,1,.,.,1,,3031,71,,,,,,,,
10,.,1,1Wd,2,.,.,.,3032,71,,,,,,,,
11,.,.,2,.,.,W,,3033,71,,,,,,,,
12,2,1,.,.,.,.,,3034,71,,,,,,,,
13,.,.,.,4,.,.,,3035,71,,,,,,,,
14,.,4,.,.,.,.,,3036,71,,,,,,,,
15,.,1,.,1,.,1Wd,.,3037,71,,,,,,,,
16,4,.,.,.,4,.,,3038,71,,,,,,,,
17,2,.,W,.,1,.,,3039,71,,,,,,,,
18,.,.,.,3,1,.,,3040,71,,,,,,,,
19,.,.,3,.,.,.,,3041,71,,,,,,,,
20,2,1,.,.,.,.,,3042,71,,,,,,,,
21,.,.,.,1,.,1,,3043,71,,,,,,,,
22,6,1Wd,.,4,1,.,1,3044,71,,,,,,,,
23,1,1,.,.,.,.,,3045,71,,,,,,,,
24,.,1,1,2,.,1,,3046,71,,,,,,,,
25,.,1,1,W,.,.,,3047,71,,,,,,,,
26,1,1,.,1,.,.,,3048,71,,,,,,,,
27,.,.,.,1,.,1,,3049,71,,,,,,,,
28,3B,.,.,1,.,.,,3050,71,,,,,,,,
29,2,1,1,.,.,1,,3051,71,,,,,,,,
30,2,1,1,1,.,1,,3052,71,,,,,,,,
31,1,3,.,.,.,.,,3053,71,,,,,,,,
32,1,1,1,.,1,1,,3054,71,,,,,,,,
33,1,1,3Wd,.,1,.,1,3055,71,,,,,,,,
34,1,1,1,1,.,.,,3056,71,,,,,,,,
35,.,1,.,1,4,.,,3057,71,,,,,,,,
36,.,.,1,.,1,.,,3058,71,,,,,,,,
37,1,1,1,.,1,.,,3059,71,,,,,,,,
38,.,.,.,.,1,1,,3060,71,,,,,,,,
39,W,.,.,.,.,1,,3061,71,,,,,,,,
40,1,.,1,1,1,1,,3062,71,,,,,,,,
41,1,1,1,W,.,1,,3063,71,,,,,,,,
42,.,.,1,.,2,.,,3064,71,,,,,,,,
43,3,1,W,.,.,.,,3065,71,,,,,,,,
44,2,1,1,1Wd,2,1,1,3066,71,,,,,,,,
45,1,1,1,2,.,1,,3067,71,,,,,,,,
46,2,1,1,1,.,1,,3068,71,,,,,,,,
47,2,1,1,1Lb,.,3,,3069,71,,,,,,,,
48,1,4,4,2,1,4,,3070,71,,,,,,,,
49,1,2,.,1,4,6,,3071,71,,,,,,,,
50,2,4,6,W,2,1,,3072,71,,,,,,,,
1,1,.,1,.,.,.,,3073,72,,,,,,,,
2,2Wd,.,.,1,.,.,W,3074,72,,,,,,,,
3,.,.,.,3,1,.,,3075,72,,,,,,,,
4,.,1,1,.,.,1Nb,.,3076,72,,,,,,,,
5,1,.,.,1Nb,.,.,.,3077,72,,,,,,,,
6,.,2,.,.,1,1Wd,.,3078,72,,,,,,,,
7,1Wd,1,.,2,.,.,.,3079,72,,,,,,,,
8,.,W,.,.,4,.,,3080,72,,,,,,,,
9,.,.,.,.,.,.,,3081,72,,,,,,,,
10,.,.,.,.,3,1,,3082,72,,,,,,,,
11,.,.,.,.,.,.,,3083,72,,,,,,,,
12,.,.,.,.,.,4,,3084,72,,,,,,,,
13,.,1,.,.,W,.,,3085,72,,,,,,,,
14,.,.,.,.,.,.,,3086,72,,,,,,,,
15,.,1,1,2,4,.,,3087,72,,,,,,,,
16,2,.,.,1Lb,.,.,,3088,72,,,,,,,,
17,.,.,.,1,1,.,,3089,72,,,,,,,,
18,.,1,1Lb,2,.,4,,3090,72,,,,,,,,
19,1,1,.,.,4,.,,3091,72,,,,,,,,
20,.,.,.,.,6,.,,3092,72,,,,,,,,
21,.,.,4,.,.,.,,3093,72,,,,,,,,
22,.,1,1,.,1,.,,3094,72,,,,,,,,
23,2,1,.,1,.,1,,3095,72,,,,,,,,
24,.,.,.,.,1,.,,3096,72,,,,,,,,
25,6,.,1,.,.,1,,3097,72,,,,,,,,
26,.,.,1,1,1,1,,3098,72,,,,,,,,
27,1,.,1,1,1,6,,3099,72,,,,,,,,
28,.,1,1,1,1,2,,3100,72,,,,,,,,
29,1,.,.,W,.,.,,3101,72,,,,,,,,
30,.,4Wd,1,1,.,.,.,3102,72,,,,,,,,
31,.,.,2,1,1,1,,3103,72,,,,,,,,
32,.,.,.,.,1,.,,3104,72,,,,,,,,
33,1,2,W,1,.,.,,3105,72,,,,,,,,
34,1,.,W,1,.,.,,3106,72,,,,,,,,
35,.,1,4,W,.,.,,3107,72,,,,,,,,
36,.,.,.,.,W,.,,3108,72,,,,,,,,
37,.,.,1Lb,.,.,.,,3109,72,,,,,,,,
38,.,.,W,W,,,,3110,72,,,,,,,,
1,.,.,.,1Wd,1Wd,1,.,3111,73,1Lb,,,,,,,
2,.,.,.,1,.,1Wd,.,3112,73,,,,,,,,
3,1Wd,1,4,.,1,1,.,3113,73,,,,,,,,
4,.,.,.,1,.,.,,3114,73,,,,,,,,
5,.,1,1,.,1,.,,3115,73,,,,,,,,
6,.,1,.,1,.,.,,3116,73,,,,,,,,
7,.,.,.,1,.,W,,3117,73,,,,,,,,
8,.,1,.,2,.,2,,3118,73,,,,,,,,
9,1,.,.,.,.,.,,3119,73,,,,,,,,
10,4,.,.,.,4,1,,3120,73,,,,,,,,
11,.,.,.,.,1,4,,3121,73,,,,,,,,
12,2,.,4,3,4,2,,3122,73,,,,,,,,
13,.,1,.,.,2,3,,3123,73,,,,,,,,
14,.,4,.,6,4,4,,3124,73,,,,,,,,
15,.,1,2,.,1Wd,1,1,3125,73,,,,,,,,
16,1,.,.,.,.,.,,3126,73,,,,,,,,
17,.,1Lb,1,.,.,.,,3127,73,,,,,,,,
18,.,2,1,.,1,.,,3128,73,,,,,,,,
19,.,1,1,4,.,.,,3129,73,,,,,,,,
20,.,1,4,6,2,.,1,3130,73,,,,,,,,
21,1,1,1,1,1,.,,3131,73,,,,,,,,
22,.,.,.,2,.,.,,3132,73,,,,,,,,
23,.,.,.,1,.,.,,3133,73,,,,,,,,
24,2,.,1Lb,.,1,.,,3134,73,,,,,,,,
25,1,1,1,1,1,1,,3135,73,,,,,,,,
26,.,.,1,1,1,1,,3136,73,,,,,,,,
27,2,1,2,.,1,2,,3137,73,,,,,,,,
28,.,1,.,1,.,1,,3138,73,,,,,,,,
29,.,.,2,.,1,1,,3139,73,,,,,,,,
30,1,4,.,2,1,.,,3140,73,,,,,,,,
31,.,1,.,2,4,1,,3141,73,,,,,,,,
32,1,1,.,1,.,1,,3142,73,,,,,,,,
33,1,4,.,1,1,4,,3143,73,,,,,,,,
34,.,2,.,1,1,1,,3144,73,,,,,,,,
35,1,.,.,.,2,1,,3145,73,,,,,,,,
36,1,W,.,1,.,1,,3146,73,,,,,,,,
37,.,1,1,.,1,.,,3147,73,,,,,,,,
38,1,1,.,1,.,1,,3148,73,,,,,,,,
39,.,1,1,.,1,1,,3149,73,,,,,,,,
40,6,1,.,4,1,6,,3150,73,,,,,,,,
41,1,6,6,1,1,4,,3151,73,,,,,,,,
42,1,4,1,1,2,4,,3152,73,,,,,,,,
43,.,2,.,1,2,1Wd,1,3153,73,,,,,,,,
44,W,1,1,1,1,4,,3154,73,,,,,,,,
45,4,6,1,.,1,6,,3155,73,,,,,,,,
46,2,2,1,1,1,.,,3156,73,,,,,,,,
47,6,4,1,4,1,1,,3157,73,,,,,,,,
48,1,1,6,.,.,1,,3158,73,,,,,,,,
49,6,6,1,6,1,6,,3159,73,,,,,,,,
50,1,W,2,2,4,1,,3160,73,,,,,,,,
1,.,1,1,.,.,.,,3161,74,,,,,,,,
2,.,.,2,.,1,.,,3162,74,,,,,,,,
3,W,.,4,.,1,.,,3163,74,,,,,,,,
4,.,2,2,.,1,1,,3164,74,,,,,,,,
5,.,1,.,1,.,2,,3165,74,,,,,,,,
6,.,4,1,.,2,1,,3166,74,,,,,,,,
7,1,4,1,1,2,.,,3167,74,,,,,,,,
8,.,.,1,1,1,.,,3168,74,,,,,,,,
9,1,1,.,2,.,3,,3169,74,,,,,,,,
10,4,.,4,1,4,1,,3170,74,,,,,,,,
11,.,1,.,1,2,W,,3171,74,,,,,,,,
12,4,.,W,2,1,.,,3172,74,,,,,,,,
13,1,.,.,.,1,2,,3173,74,,,,,,,,
14,1,1,1,.,2,.,,3174,74,,,,,,,,
15,1,.,.,.,1,4,,3175,74,,,,,,,,
16,1,1,.,1,.,4,,3176,74,,,,,,,,
17,1,.,4,1,.,4,,3177,74,,,,,,,,
18,1,1,1,1,1,.,,3178,74,,,,,,,,
19,.,4,1,.,1,2,,3179,74,,,,,,,,
20,.,1,1,W,.,1,,3180,74,,,,,,,,
21,.,1,.,.,4,1,,3181,74,,,,,,,,
22,.,1,1,.,1,.,,3182,74,,,,,,,,
23,1,1,.,1,.,1,,3183,74,,,,,,,,
24,1,.,2,2,.,4,,3184,74,,,,,,,,
25,W,1,.,.,.,1,,3185,74,,,,,,,,
26,1,.,1,1,4,.,,3186,74,,,,,,,,
27,1,.,1,.,.,1,,3187,74,,,,,,,,
28,1,1,1,.,.,.,,3188,74,,,,,,,,
29,1,.,1,4,.,4Lb,,3189,74,,,,,,,,
30,.,1,1,.,W,.,,3190,74,,,,,,,,
31,1,.,.,.,.,1,,3191,74,,,,,,,,
32,2,1,6,1,W,1,,3192,74,,,,,,,,
33,.,1,1,1,1,.,,3193,74,,,,,,,,
34,.,2,4,4,4,1,,3194,74,,,,,,,,
35,1,.,1,1,.,.,,3195,74,,,,,,,,
36,1,.,1,1,.,1,,3196,74,,,,,,,,
37,.,.,.,.,.,.,,3197,74,,,,,,,,
38,1,.,1,2,1,.,,3198,74,,,,,,,,
39,W,.,1,.,.,.,,3199,74,,,,,,,,
40,.,1,.,1,2,1,,3200,74,,,,,,,,
41,.,1,1,.,6,4,,3201,74,,,,,,,,
42,1,2,1,.,.,1,,3202,74,,,,,,,,
43,.,4,1,1,1,.,,3203,74,,,,,,,,
44,.,.,.,.,.,1,,3204,74,,,,,,,,
45,1,.,4,1Wd,1,1,1,3205,74,,,,,,,,
46,.,1,W,1,.,1,,3206,74,,,,,,,,
47,1,.,.,.,1,.,,3207,74,,,,,,,,
48,6,6,2,1,.,2,,3208,74,,,,,,,,
49,1,.,1,1,.,1Wd,.,3209,74,,,,,,,,
50,.,1Wd,.,1,1,1,6,3210,74,,,,,,,,
1,.,4,.,4,.,.,,3211,75,,,,,,,,
2,.,1,W,.,.,.,,3212,75,,,,,,,,
3,1,.,.,1Wd,.,.,1,3213,75,,,,,,,,
4,.,.,1,.,4,1,,3214,75,,,,,,,,
5,.,1,1Wd,.,.,.,1Wd,3215,75,1,,,,,,,
6,.,.,1,.,W,1,,3216,75,,,,,,,,
7,1,.,.,.,1,.,,3217,75,,,,,,,,
8,.,.,.,W,.,4,,3218,75,,,,,,,,
9,1,.,.,.,.,.,,3219,75,,,,,,,,
10,.,.,.,.,.,4,,3220,75,,,,,,,,
11,4,.,1,W,.,.,,3221,75,,,,,,,,
12,.,.,.,1,1Wd,.,.,3222,75,,,,,,,,
13,.,.,1Nb,1Nb,.,1,1Wd,3223,75,1,.,,,,,,
14,W,4,3,.,.,.,,3224,75,,,,,,,,
15,1,.,2,.,.,6,,3225,75,,,,,,,,
16,2,W,.,.,.,.,,3226,75,,,,,,,,
17,4,4,.,.,1Wd,.,.,3227,75,,,,,,,,
18,.,1Wd,1,1,.,.,.,3228,75,,,,,,,,
19,.,.,.,.,4,1,,3229,75,,,,,,,,
20,2,.,.,.,1Wd,.,.,3230,75,,,,,,,,
21,.,.,.,.,1Lb,.,,3231,75,,,,,,,,
22,.,.,.,1Wd,2,1,.,3232,75,,,,,,,,
23,.,.,.,.,1,.,,3233,75,,,,,,,,
24,.,.,.,1,.,1Lb,,3234,75,,,,,,,,
25,1,1,.,.,1,1Lb,,3235,75,,,,,,,,
26,.,1,.,.,.,4,,3236,75,,,,,,,,
27,.,.,1,2,1,1,,3237,75,,,,,,,,
28,.,1,1,.,.,1,,3238,75,,,,,,,,
29,1,.,.,.,1,W,,3239,75,,,,,,,,
30,.,.,1Wd,.,.,.,.,3240,75,,,,,,,,
31,.,.,.,W,.,.,,3241,75,,,,,,,,
32,.,.,.,1,.,.,,3242,75,,,,,,,,
33,2,.,.,1,4,2,,3243,75,,,,,,,,
34,.,.,.,.,.,2,,3244,75,,,,,,,,
35,4,.,.,1,.,1,,3245,75,,,,,,,,
36,.,1,.,.,.,4,,3246,75,,,,,,,,
37,1,.,.,W,.,2,,3247,75,,,,,,,,
38,4,W,,,,,,3248,75,,,,,,,,
1,.,.,.,4Lb,.,.,,3249,76,,,,,,,,
2,.,.,.,.,.,.,,3250,76,,,,,,,,
3,.,2Wd,.,.,.,1Wd,.,3251,76,.,,,,,,,
4,.,.,W,.,.,1,,3252,76,,,,,,,,
5,.,.,1Wd,1,4,.,1,3253,76,,,,,,,,
6,.,.,2Lb,.,4,.,,3254,76,,,,,,,,
7,.,.,.,.,1,.,,3255,76,,,,,,,,
8,.,4,.,3,.,.,,3256,76,,,,,,,,
9,.,.,.,.,1,.,,3257,76,,,,,,,,
10,.,.,.,.,.,.,,3258,76,,,,,,,,
11,.,1,6,.,.,4,,3259,76,,,,,,,,
12,.,1,.,.,1,.,,3260,76,,,,,,,,
13,1,.,4,.,.,.,,3261,76,,,,,,,,
14,.,.,W,.,.,.,,3262,76,,,,,,,,
15,.,.,2,.,.,.,,3263,76,,,,,,,,
16,.,.,.,.,.,1,,3264,76,,,,,,,,
17,1,1,1,.,1,.,,3265,76,,,,,,,,
18,2,.,.,.,1,.,,3266,76,,,,,,,,
19,.,.,1,1,1,.,,3267,76,,,,,,,,
20,3,2,.,.,1,1,,3268,76,,,,,,,,
21,.,2,.,.,W,.,,3269,76,,,,,,,,
22,.,.,2,.,1,1,,3270,76,,,,,,,,
23,.,.,.,4,1,W,,3271,76,,,,,,,,
24,.,.,.,.,.,.,,3272,76,,,,,,,,
25,.,4,1,1,.,.,,3273,76,,,,,,,,
26,.,.,.,.,.,.,,3274,76,,,,,,,,
27,1,.,.,.,.,.,,3275,76,,,,,,,,
28,.,4,.,.,4,.,,3276,76,,,,,,,,
29,2,.,1,.,1,.,,3277,76,,,,,,,,
30,6,.,.,1Wd,1Wd,1,.,3278,76,.,,,,,,,
31,1,.,.,2,.,.,,3279,76,,,,,,,,
32,.,W,.,.,.,W,,3280,76,,,,,,,,
33,1,1,1,.,.,.,,3281,76,,,,,,,,
34,.,.,.,.,.,1,,3282,76,,,,,,,,
35,.,1,.,.,1,1,,3283,76,,,,,,,,
36,1,.,.,.,.,.,,3284,76,,,,,,,,
37,1,2,.,.,2,.,,3285,76,,,,,,,,
38,1,1,.,.,.,.,,3286,76,,,,,,,,
39,1,.,2Lb,.,.,.,,3287,76,,,,,,,,
40,1,1,.,.,6,.,,3288,76,,,,,,,,
41,.,.,.,.,.,.,,3289,76,,,,,,,,
42,.,.,.,.,.,.,,3290,76,,,,,,,,
43,.,.,.,.,.,.,,3291,76,,,,,,,,
44,.,.,.,1,1,.,,3292,76,,,,,,,,
45,1,4B,.,.,4,,,3293,76,,,,,,,,
1,1,.,.,.,W,.,,3294,77,,,,,,,,
2,.,1Wd,2,.,.,.,.,3295,77,,,,,,,,
3,W,.,.,.,.,.,,3296,77,,,,,,,,
4,.,.,.,.,.,.,,3297,77,,,,,,,,
5,.,.,.,.,.,.,,3298,77,,,,,,,,
6,.,.,.,.,1,.,,3299,77,,,,,,,,
7,.,1,.,.,.,.,,3300,77,,,,,,,,
8,.,.,4,.,.,.,,3301,77,,,,,,,,
9,.,.,.,4,1,.,,3302,77,,,,,,,,
10,.,2,.,.,1,.,,3303,77,,,,,,,,
11,.,.,.,1,.,4,,3304,77,,,,,,,,
12,2,4,4,.,.,.,,3305,77,,,,,,,,
13,.,.,.,.,.,.,,3306,77,,,,,,,,
14,.,1,.,1,1,.,,3307,77,,,,,,,,
15,.,1,4,1,.,.,,3308,77,,,,,,,,
16,.,2Nb,4,4,.,.,.,3309,77,,,,,,,,
17,1,1Nb,.,.,1,1,3,3310,77,,,,,,,,
18,.,4,.,.,.,.,,3311,77,,,,,,,,
19,4,.,.,2,.,1Nb,.,3312,77,,,,,,,,
20,.,.,1,.,W,.,,3313,77,,,,,,,,
21,1Wd,.,1,.,1,1,.,3314,77,,,,,,,,
22,.,.,.,1,.,.,,3315,77,,,,,,,,
23,1,W,.,.,.,1,,3316,77,,,,,,,,
24,1,1,1,1,1,1,,3317,77,,,,,,,,
25,.,.,2,.,.,1,,3318,77,,,,,,,,
26,.,.,1,1,.,3,,3319,77,,,,,,,,
27,1,1,1,.,.,.,,3320,77,,,,,,,,
28,1,2,1,.,.,1,,3321,77,,,,,,,,
29,1,.,1,1,2B,1,,3322,77,,,,,,,,
30,.,1,.,1,1,1,,3323,77,,,,,,,,
31,.,.,.,1,.,1,,3324,77,,,,,,,,
32,1,1,.,.,.,1,,3325,77,,,,,,,,
33,1,.,.,1,1,1,,3326,77,,,,,,,,
34,2,2,.,.,.,.,,3327,77,,,,,,,,
35,.,.,1,1Nb,.,1,1,3328,77,,,,,,,,
36,.,.,1,1,2,1,,3329,77,,,,,,,,
37,.,.,1,.,.,2,,3330,77,,,,,,,,
38,6,.,W,1,1,1,,3331,77,,,,,,,,
39,1Lb,W,.,.,1,1,,3332,77,,,,,,,,
40,1,2,1,1,1,1,,3333,77,,,,,,,,
41,.,.,.,1,W,1,,3334,77,,,,,,,,
42,.,.,1,1,1,1,,3335,77,,,,,,,,
43,1,1,.,.,1,1,,3336,77,,,,,,,,
44,2,1,.,1,2,1,,3337,77,,,,,,,,
45,.,1,1,.,1,1,,3338,77,,,,,,,,
46,.,.,.,.,.,.,,3339,77,,,,,,,,
47,2,.,1Wd,1,1Lb,1,.,3340,77,,,,,,,,
48,1,2,6,2,2,1,,3341,77,,,,,,,,
49,1,1Nb,.,.,4,1,1,3342,77,,,,,,,,
50,2,5Wd,1,2,.,2,4,3343,77,,,,,,,,
1,.,.,.,4B,.,5Wd,.,3344,78,,,,,,,,
2,.,.,4Lb,4,.,.,,3345,78,,,,,,,,
3,4,.,.,.,1,.,,3346,78,,,,,,,,
4,2,.,.,.,.,1,,3347,78,,,,,,,,
5,.,2Nb,1,2,W,.,2,3348,78,,,,,,,,
6,.,.,.,.,.,1,,3349,78,,,,,,,,
7,2,1,.,1,1,1Lb,,3350,78,,,,,,,,
8,.,2,.,.,4,2,,3351,78,,,,,,,,
9,6,4,.,1Nb,4,2,1Lb,3352,78,,,,,,,,
10,.,1,.,.,.,.,,3353,78,,,,,,,,
11,1,1,2,1,.,.,,3354,78,,,,,,,,
12,.,.,2,1,.,1,,3355,78,,,,,,,,
13,1,1,2Nb,.,.,.,1,3356,78,,,,,,,,
14,.,1,1,1,.,1,,3357,78,,,,,,,,
15,1,2,1,.,1,1,,3358,78,,,,,,,,
16,.,.,.,.,2,1Nb,.,3359,78,,,,,,,,
17,.,2,.,.,1,.,,3360,78,,,,,,,,
18,.,.,1,1,1,1,,3361,78,,,,,,,,
19,1,.,.,.,1,.,,3362,78,,,,,,,,
20,.,2,1,1,.,.,,3363,78,,,,,,,,
21,.,.,.,.,.,.,,3364,78,,,,,,,,
22,1,1,.,.,1,1,,3365,78,,,,,,,,
23,.,4,.,.,1,.,,3366,78,,,,,,,,
24,1,1,2Nb,.,1,1,1,3367,78,,,,,,,,
25,1,.,.,4,.,1,,3368,78,,,,,,,,
26,1,1,W,.,.,4,,3369,78,,,,,,,,
27,1,2,1,.,1,1,,3370,78,,,,,,,,
28,.,1,.,1,.,.,,3371,78,,,,,,,,
29,.,.,.,1,1,.,,3372,78,,,,,,,,
30,.,1,.,.,1,4,,3373,78,,,,,,,,
31,1,1Wd,.,W,.,.,2,3374,78,,,,,,,,
32,.,1,.,.,.,.,,3375,78,,,,,,,,
33,1Wd,.,.,1,.,.,1,3376,78,,,,,,,,
34,.,.,.,.,1,.,,3377,78,,,,,,,,
35,.,4,4,4,.,1,,3378,78,,,,,,,,
36,.,.,.,.,.,.,,3379,78,,,,,,,,
37,.,1,.,4,1,.,,3380,78,,,,,,,,
38,1,1,.,.,W,.,,3381,78,,,,,,,,
39,1,.,1,2,1,.,,3382,78,,,,,,,,
40,.,1,.,.,.,1,,3383,78,,,,,,,,
41,.,1,1Nb,1Lb,1,2Nb,1,3384,78,4,,,,,,,
42,1,1,1,1,1,1,,3385,78,,,,,,,,
43,1,1,1,1,.,1Nb,1,3386,78,,,,,,,,
44,1,.,.,1,1,1,,3387,78,,,,,,,,
45,.,1,1,1,.,1,,3388,78,,,,,,,,
46,4,,,,,,,3389,78,,,,,,,,
1,1,.,.,.,1,W,,3390,79,,,,,,,,
2,.,.,.,.,.,.,,3391,79,,,,,,,,
3,.,.,.,.,.,.,,3392,79,,,,,,,,
4,W,W,.,1Wd,1Wd,4,.,3393,79,4,,,,,,,
5,.,.,W,.,.,1,,3394,79,,,,,,,,
6,.,1Wd,1Wd,.,.,1Wd,1,3395,79,.,1Nb,1Wd,3,,,,
7,.,1,.,.,.,.,,3396,79,,,,,,,,
8,1Wd,.,.,.,.,.,.,3397,79,,,,,,,,
9,.,.,.,2,.,.,,3398,79,,,,,,,,
10,.,.,.,.,4,.,,3399,79,,,,,,,,
11,2,.,W,.,.,1,,3400,79,,,,,,,,
12,.,.,.,1,.,.,,3401,79,,,,,,,,
13,2,4,.,.,.,2,,3402,79,,,,,,,,
14,.,W,1,4,.,.,,3403,79,,,,,,,,
15,.,.,2,.,1Wd,.,.,3404,79,,,,,,,,
16,.,.,.,.,.,3,,3405,79,,,,,,,,
17,1Wd,.,.,W,2,.,3,3406,79,,,,,,,,
18,.,.,.,.,.,.,,3407,79,,,,,,,,
19,.,1,3Wd,.,2,4,1,3408,79,,,,,,,,
20,.,.,1,.,.,1,,3409,79,,,,,,,,
21,.,.,.,.,.,W,,3410,79,,,,,,,,
22,.,1,.,1,.,.,,3411,79,,,,,,,,
23,1,.,1,.,.,4,,3412,79,,,,,,,,
24,W,.,.,.,1Wd,.,.,3413,79,,,,,,,,
25,1,.,.,.,.,.,,3414,79,,,,,,,,
26,.,.,.,.,.,.,,3415,79,,,,,,,,
27,.,.,2,.,.,.,,3416,79,,,,,,,,
28,.,2,.,.,.,2Wd,.,3417,79,,,,,,,,
29,.,.,.,1,.,2,,3418,79,,,,,,,,
30,.,.,.,.,.,W,,3419,79,,,,,,,,
1,1Wd,.,3,2,.,1,2,3420,80,,,,,,,,
2,.,.,.,.,1Wd,.,2,3421,80,,,,,,,,
3,.,1Wd,.,4Lb,.,1,.,3422,80,,,,,,,,
