ovNo,ovBalls/0,ovBalls/1,ovBalls/2,ovBalls/3,ovBalls/4,ovBalls/5,ovBalls/6,id,inningId,ovBalls/7,ovBalls/8,ovBalls/9,ovBalls/10,ovBalls/11,ovBalls/12,ovBalls/13,bowlerId
18,1Wd,4,.,2,.,1,4,72219,1715,,,,,,,,
19,1,.,.,.,1,1,,72220,1715,,,,,,,,
20,.,.,.,1,1,1,,72221,1715,,,,,,,,
21,1,1,1,.,.,1,,72222,1715,,,,,,,,
22,.,W,.,1,.,1,,72223,1715,,,,,,,,
23,.,4,1,2,1,.,,72224,1715,,,,,,,,
24,4,.,.,.,.,1,,72225,1715,,,,,,,,
25,.,1,1,6,1,6,,72226,1715,,,,,,,,
26,1,.,1,1,1,4,,72227,1715,,,,,,,,
27,1,4,1,.,1,3,,72228,1715,,,,,,,,
28,.,.,1,4,.,1,,72229,1715,,,,,,,,
29,.,1,1,1,.,1,,72230,1715,,,,,,,,
30,4,.,1,1,4,1,,72231,1715,,,,,,,,
31,1,1,1,2,1,6,,72232,1715,,,,,,,,
32,.,.,.,.,1,1,,72233,1715,,,,,,,,
33,.,1,1,.,1,1,,72234,1715,,,,,,,,
34,.,1,1,1,1,2,,72235,1715,,,,,,,,
35,.,4,4,.,1,1,,72236,1715,,,,,,,,
36,1,1,1,2,1Lb,4,,72237,1715,,,,,,,,
37,1,.,1,1,1,1,,72238,1715,,,,,,,,
38,1Lb,1,1,4,1,2,,72239,1715,,,,,,,,
39,.,.,2,.,W,.,,72240,1715,,,,,,,,
40,1Wd,1,1,4,1,1,1,72241,1715,,,,,,,,
41,1,.,1,1,1,1,,72242,1715,,,,,,,,
42,2,.,1,.,1,1,,72243,1715,,,,,,,,
43,2,1,.,1,1,1,,72244,1715,,,,,,,,
44,1,2,1,3,2,1,,72245,1715,,,,,,,,
45,.,4,W,1,1,1,,72246,1715,,,,,,,,
46,1,1,1,.,.,2,,72247,1715,,,,,,,,
47,2,2,4,.,1Wd,1Wd,1Lb,72248,1715,4,,,,,,,
48,2,.,6,1,W,W,,72249,1715,,,,,,,,
49,1,.,1,W,1,1,,72250,1715,,,,,,,,
50,.,4,.,1,1,4,,72251,1715,,,,,,,,
1,.,.,.,.,1Wd,4,.,72252,1716,,,,,,,,
2,4,3,1Lb,4,1,2,,72253,1716,,,,,,,,
3,.,1,.,.,.,.,,72254,1716,,,,,,,,
4,1,5Wd,1,4,1,4,.,72255,1716,,,,,,,,
5,.,4,5Wd,1,.,1Wd,4Lb,72256,1716,.,,,,,,,
6,1,1,1,.,.,4,,72257,1716,,,,,,,,
7,.,1,.,1,.,1Lb,,72258,1716,,,,,,,,
8,1Wd,.,4,4,.,.,.,72259,1716,,,,,,,,
9,1,1,2,.,1,.,,72260,1716,,,,,,,,
10,1,1,.,.,1,.,,72261,1716,,,,,,,,
11,1,1,.,.,1,1,,72262,1716,,,,,,,,
12,1,.,.,.,1,1,,72263,1716,,,,,,,,
13,1,2,1,1,.,1,,72264,1716,,,,,,,,
14,W,1,1,.,1,.,,72265,1716,,,,,,,,
15,1,.,1,1,1Nb,4,1,72266,1716,,,,,,,,
16,3,1,.,.,1,.,,72267,1716,,,,,,,,
17,.,.,2,2Nb,1Wd,1Wd,4,72268,1716,2,3Nb,4,,,,,
18,.,.,.,1,1,1,,72269,1716,,,,,,,,
19,1,1,.,1,1,1,,72270,1716,,,,,,,,
20,2,.,.,.,.,1,,72271,1716,,,,,,,,
21,2,1,.,2,.,.,,72272,1716,,,,,,,,
22,.,W,2,W,.,W,,72273,1716,,,,,,,,
23,2,1,.,.,.,W,,72274,1716,,,,,,,,
24,.,1,.,1,.,1,,72275,1716,,,,,,,,
25,.,.,.,1,1,1,,72276,1716,,,,,,,,
26,.,2,1Wd,1Lb,W,.,.,72277,1716,,,,,,,,
27,1,.,.,.,5Wd,1,.,72278,1716,,,,,,,,
28,6,1,.,.,.,.,,72279,1716,,,,,,,,
29,1,.,1,.,.,.,,72280,1716,,,,,,,,
30,.,.,.,1,.,1,,72281,1716,,,,,,,,
31,.,.,.,.,.,.,,72282,1716,,,,,,,,
32,.,1,W,.,.,1,,72283,1716,,,,,,,,
33,1,W,.,.,2Lb,.,,72284,1716,,,,,,,,
34,1,.,.,4,1Lb,1,,72285,1716,,,,,,,,
35,1,.,.,.,.,.,,72286,1716,,,,,,,,
36,4,.,4,.,1,W,,72287,1716,,,,,,,,
37,1,.,.,1Wd,.,W,,72288,1716,,,,,,,,
1,.,.,1,2,1,2,,72289,1717,,,,,,,,
2,.,6,1,.,4,.,,72290,1717,,,,,,,,
3,.,.,4,.,.,1,,72291,1717,,,,,,,,
4,4,1Wd,.,1,1Wd,.,.,72292,1717,.,,,,,,,
5,4,1,.,W,.,.,,72293,1717,,,,,,,,
6,.,1,1,.,1,.,,72294,1717,,,,,,,,
7,1Wd,.,1,.,1,1,.,72295,1717,,,,,,,,
8,1,.,.,.,W,1,,72296,1717,,,,,,,,
9,.,.,1,W,.,.,,72297,1717,,,,,,,,
10,.,.,1,.,1,.,,72298,1717,,,,,,,,
11,.,.,.,.,4,1,,72299,1717,,,,,,,,
12,3,.,.,.,1,2,,72300,1717,,,,,,,,
13,.,.,.,.,W,.,,72301,1717,,,,,,,,
14,.,.,.,W,.,3,,72302,1717,,,,,,,,
15,.,.,4,1,.,.,,72303,1717,,,,,,,,
16,4,.,4,.,.,.,,72304,1717,,,,,,,,
17,1,.,1Wd,.,.,1,.,72305,1717,,,,,,,,
18,.,.,1B,1,2,1Wd,1Wd,72306,1717,.,,,,,,,
19,4,4,.,1Wd,1,.,1,72307,1717,,,,,,,,
20,.,.,1,.,1,1,,72308,1717,,,,,,,,
21,.,.,.,.,1,2,,72309,1717,,,,,,,,
22,2,.,.,2,.,2,,72310,1717,,,,,,,,
23,.,.,.,1Wd,.,.,1Wd,72311,1717,.,,,,,,,
24,.,1,.,1,1,4,,72312,1717,,,,,,,,
25,1,1,.,5Wd,.,W,1,72313,1717,,,,,,,,
26,.,1,.,.,.,.,,72314,1717,,,,,,,,
27,W,.,.,4,.,.,,72315,1717,,,,,,,,
28,1,.,.,1,1,.,,72316,1717,,,,,,,,
29,.,.,.,2,1,.,,72317,1717,,,,,,,,
30,1,.,.,.,1,.,,72318,1717,,,,,,,,
31,1Wd,.,.,.,W,.,.,72319,1717,,,,,,,,
32,.,4,.,5Nb,.,.,W,72320,1717,,,,,,,,
33,1,.,6,W,,,,72321,1717,,,,,,,,
1,1,.,.,1,.,.,,72322,1718,,,,,,,,
2,.,.,.,2,.,.,,72323,1718,,,,,,,,
3,4,.,1,1,.,.,,72324,1718,,,,,,,,
4,1B,W,4,.,.,.,,72325,1718,,,,,,,,
5,4,1,2,.,.,.,,72326,1718,,,,,,,,
6,.,.,1,1,W,2,,72327,1718,,,,,,,,
7,.,.,.,.,.,4,,72328,1718,,,,,,,,
8,1,.,.,.,.,.,,72329,1718,,,,,,,,
9,1,.,.,.,.,.,,72330,1718,,,,,,,,
10,.,.,.,2,.,.,,72331,1718,,,,,,,,
11,.,1,1,1,.,.,,72332,1718,,,,,,,,
12,1,1,1,.,.,.,,72333,1718,,,,,,,,
13,.,2,.,1,.,.,,72334,1718,,,,,,,,
14,.,.,.,.,1,4,,72335,1718,,,,,,,,
15,2,.,4,1,.,1,,72336,1718,,,,,,,,
16,1,.,2,4,1,1,,72337,1718,,,,,,,,
17,2,1Lb,.,1,.,2,,72338,1718,,,,,,,,
18,3,.,.,.,.,1,,72339,1718,,,,,,,,
19,.,.,1,.,1,1,,72340,1718,,,,,,,,
20,W,.,1Wd,.,1,.,W,72341,1718,,,,,,,,
21,1,1,1,.,1,1,,72342,1718,,,,,,,,
22,1,.,.,1,.,1,,72343,1718,,,,,,,,
23,1,.,.,.,.,W,,72344,1718,,,,,,,,
24,2,1,.,4,1,1,,72345,1718,,,,,,,,
25,1,.,1,1,1,1,,72346,1718,,,,,,,,
26,.,1,.,.,1,.,,72347,1718,,,,,,,,
27,.,1,1,.,.,.,,72348,1718,,,,,,,,
28,1,.,1,.,1,2,,72349,1718,,,,,,,,
29,1,.,.,1,4,.,,72350,1718,,,,,,,,
30,1,.,2,1,.,1,,72351,1718,,,,,,,,
31,.,.,.,.,.,.,,72352,1718,,,,,,,,
32,.,.,1,.,.,.,,72353,1718,,,,,,,,
33,.,1,1,1,.,.,,72354,1718,,,,,,,,
34,.,1,4,.,.,.,,72355,1718,,,,,,,,
35,1,.,.,.,1,.,,72356,1718,,,,,,,,
36,.,1,W,3,.,.,,72357,1718,,,,,,,,
37,1,.,.,.,.,1,,72358,1718,,,,,,,,
38,2,1Wd,1,.,1,.,1Wd,72359,1718,.,,,,,,,
39,1,6,1,1,1,1,,72360,1718,,,,,,,,
40,1,.,W,1,.,2,,72361,1718,,,,,,,,
41,.,2,.,.,1Wd,.,.,72362,1718,,,,,,,,
42,6,1,1,1,.,.,,72363,1718,,,,,,,,
43,.,1,1,1,2,4,,72364,1718,,,,,,,,
44,.,.,.,6,1,1,,72365,1718,,,,,,,,
45,.,.,.,1Lb,1,.,,72366,1718,,,,,,,,
46,1Wd,1,1Lb,1,1,1Wd,2,72367,1718,.,,,,,,,
47,1,4,1,2,.,1,,72368,1718,,,,,,,,
48,2,1,1,2,1,2,,72369,1718,,,,,,,,
49,.,1,.,1,4,.,,72370,1718,,,,,,,,
50,.,W,2,1,.,W,,72371,1718,,,,,,,,
1,.,.,1,1,.,1,,72372,1719,,,,,,,,
2,.,1,.,.,.,.,,72373,1719,,,,,,,,
3,1,.,.,1,4,.,,72374,1719,,,,,,,,
4,.,.,.,.,1,.,,72375,1719,,,,,,,,
5,2,.,.,.,.,.,,72376,1719,,,,,,,,
6,W,.,.,.,1,.,,72377,1719,,,,,,,,
7,.,.,.,.,.,.,,72378,1719,,,,,,,,
8,.,.,6,4,.,1Wd,4,72379,1719,,,,,,,,
9,.,.,.,.,.,2,,72380,1719,,,,,,,,
10,1,1,.,.,.,1,,72381,1719,,,,,,,,
11,.,.,.,1,.,1,,72382,1719,,,,,,,,
12,1,.,.,1,.,1,,72383,1719,,,,,,,,
13,1,1,1,1,.,1,,72384,1719,,,,,,,,
14,1,.,1,1,.,.,,72385,1719,,,,,,,,
15,1,.,1,.,1,.,,72386,1719,,,,,,,,
16,.,4,W,.,.,.,,72387,1719,,,,,,,,
17,4,1,1,.,1,1,,72388,1719,,,,,,,,
18,1,.,.,.,2,.,,72389,1719,,,,,,,,
19,.,.,1,.,2,.,,72390,1719,,,,,,,,
20,4,.,.,1,4,1,,72391,1719,,,,,,,,
21,.,1Lb,1,1,1,.,,72392,1719,,,,,,,,
22,.,.,.,.,.,.,,72393,1719,,,,,,,,
23,.,6,.,.,1,2,,72394,1719,,,,,,,,
24,.,.,.,.,.,1Lb,,72395,1719,,,,,,,,
25,.,2,.,.,.,1,,72396,1719,,,,,,,,
26,1Wd,1,.,.,.,4,1,72397,1719,,,,,,,,
27,1,4,1,1,4,.,,72398,1719,,,,,,,,
28,.,1,.,1,.,.,,72399,1719,,,,,,,,
29,1,.,.,3,4,.,,72400,1719,,,,,,,,
30,.,1,.,4,.,1,,72401,1719,,,,,,,,
31,4,.,1,1,2,2,,72402,1719,,,,,,,,
32,.,.,W,.,.,.,,72403,1719,,,,,,,,
33,1,1,.,2,.,.,,72404,1719,,,,,,,,
34,.,.,.,1Wd,.,1,.,72405,1719,,,,,,,,
35,1,1,1,1,1,.,,72406,1719,,,,,,,,
36,1,1,.,1,1,.,,72407,1719,,,,,,,,
37,.,.,.,.,4,.,,72408,1719,,,,,,,,
38,1,.,.,1,.,4,,72409,1719,,,,,,,,
39,.,1,1,.,1,1,,72410,1719,,,,,,,,
40,.,.,.,.,2,1,,72411,1719,,,,,,,,
41,1,.,2,1,.,1,,72412,1719,,,,,,,,
42,2,.,.,.,1Lb,.,,72413,1719,,,,,,,,
43,.,4,1,4,3,2,,72414,1719,,,,,,,,
44,.,.,.,4,.,1,,72415,1719,,,,,,,,
45,2,1,1,4,1,1,,72416,1719,,,,,,,,
46,.,2,1,.,1,1,,72417,1719,,,,,,,,
47,W,1,.,4,4,1,,72418,1719,,,,,,,,
48,2,.,1Wd,4,,,,72419,1719,,,,,,,,
1,.,.,4,.,.,.,,72420,1720,,,,,,,,
2,1,.,.,1,.,1,,72421,1720,,,,,,,,
3,2,.,.,.,.,.,,72422,1720,,,,,,,,
4,2,.,.,4,.,.,,72423,1720,,,,,,,,
5,.,2,4,.,.,1,,72424,1720,,,,,,,,
6,1,.,.,.,.,1,,72425,1720,,,,,,,,
7,1,4,1,1,4,1,,72426,1720,,,,,,,,
8,.,2,1,.,4,1,,72427,1720,,,,,,,,
9,1,.,W,1,.,.,,72428,1720,,,,,,,,
10,.,.,2,.,.,1,,72429,1720,,,,,,,,
11,.,.,2,1,1,1,,72430,1720,,,,,,,,
12,.,1,.,1,.,.,,72431,1720,,,,,,,,
13,.,.,.,1,1,1,,72432,1720,,,,,,,,
14,1Wd,.,W,.,.,2Lb,.,72433,1720,,,,,,,,
15,.,.,1,.,.,1,,72434,1720,,,,,,,,
16,1,.,1,.,.,.,,72435,1720,,,,,,,,
17,.,1,.,4,.,1,,72436,1720,,,,,,,,
18,1Wd,.,1,.,.,.,.,72437,1720,,,,,,,,
19,1,.,.,.,.,.,,72438,1720,,,,,,,,
20,.,1,1,1,.,4,,72439,1720,,,,,,,,
21,.,1,1,4,1,2,,72440,1720,,,,,,,,
22,.,.,.,.,.,.,,72441,1720,,,,,,,,
23,4,4,4,1Wd,1,1,2,72442,1720,,,,,,,,
24,.,1,.,1,W,.,,72443,1720,,,,,,,,
25,1,1,.,4,1,1,,72444,1720,,,,,,,,
26,2,.,.,.,.,.,,72445,1720,,,,,,,,
27,.,2,1,1Wd,1Wd,1Wd,.,72446,1720,.,4,,,,,,
28,1,1,3,1,.,1,,72447,1720,,,,,,,,
29,.,4,.,2,4,1,,72448,1720,,,,,,,,
30,.,1,1,.,1,.,,72449,1720,,,,,,,,
31,.,W,1,1,.,1Wd,1,72450,1720,,,,,,,,
32,.,.,1,1,.,1,,72451,1720,,,,,,,,
33,.,.,2,1,.,.,,72452,1720,,,,,,,,
34,1,.,1,.,.,1,,72453,1720,,,,,,,,
35,.,1,.,1,.,.,,72454,1720,,,,,,,,
36,.,4,.,2,.,.,,72455,1720,,,,,,,,
37,.,.,.,1Lb,1Wd,4,1,72456,1720,,,,,,,,
38,W,.,1,.,.,1Wd,1,72457,1720,,,,,,,,
39,.,1,.,1,1,1,,72458,1720,,,,,,,,
40,.,.,1,.,1,.,,72459,1720,,,,,,,,
41,1,2,.,.,1,.,,72460,1720,,,,,,,,
42,1,.,.,.,1,1,,72461,1720,,,,,,,,
43,1,1,W,.,4,1,,72462,1720,,,,,,,,
44,1,.,.,1,.,1,,72463,1720,,,,,,,,
45,1,1,2,.,.,6,,72464,1720,,,,,,,,
46,1,1,1,.,4,1Lb,,72465,1720,,,,,,,,
47,1,W,1,1,1,1,,72466,1720,,,,,,,,
48,2,.,2,1,1,1B,,72467,1720,,,,,,,,
49,.,W,1,4Lb,4,.,,72468,1720,,,,,,,,
50,W,W,,,,,,72469,1720,,,,,,,,
1,4,2,1,.,.,.,,72470,1721,,,,,,,,
2,6,1,.,.,.,1,,72471,1721,,,,,,,,
3,1,4,1,.,4,.,,72472,1721,,,,,,,,
4,4,.,.,.,1,.,,72473,1721,,,,,,,,
5,1,.,4,.,.,.,,72474,1721,,,,,,,,
6,W,6,.,1,.,1,,72475,1721,,,,,,,,
7,1,1,.,1,.,4,,72476,1721,,,,,,,,
8,.,.,1,.,.,.,,72477,1721,,,,,,,,
9,1,.,.,1,.,.,,72478,1721,,,,,,,,
10,.,.,.,1,1,W,,72479,1721,,,,,,,,
11,.,.,1,.,4,.,,72480,1721,,,,,,,,
12,1,1,1,.,4,.,,72481,1721,,,,,,,,
13,1,1,.,.,1,.,,72482,1721,,,,,,,,
14,2,.,1,.,1,.,,72483,1721,,,,,,,,
15,1,.,1,1,1,4,,72484,1721,,,,,,,,
16,.,.,.,1,1,1,,72485,1721,,,,,,,,
17,.,.,.,4,.,1,,72486,1721,,,,,,,,
18,1,4,.,3,1,2,,72487,1721,,,,,,,,
19,1,1,.,1,.,1,,72488,1721,,,,,,,,
20,4,.,.,1,.,.,,72489,1721,,,,,,,,
21,.,1,.,.,.,1,,72490,1721,,,,,,,,
22,.,1,.,.,2,1,,72491,1721,,,,,,,,
23,4,.,1,1,1,.,,72492,1721,,,,,,,,
24,1,1,1,.,1,.,,72493,1721,,,,,,,,
25,.,2,1,4,2,1Wd,1,72494,1721,,,,,,,,
